trial,timepoints,vdcc_c0,vdcc_c1,vdcc_c2,vdcc_c3,vdcc_o,ca_sum,ca
1000.0,10.028,63.0,1.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.029,63.0,1.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.03,63.0,1.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.031,63.0,1.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.032,63.0,1.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.033,63.0,1.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.034,63.0,1.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.035,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.036,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.037,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.038,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.039,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.040000000000001,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.041,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.042,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.043000000000001,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.044,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.045,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.046,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.047,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.048,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.049,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.05,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.051,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.052,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.053,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.054,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.055,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.056000000000001,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.057,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.058,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.059000000000001,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.06,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.061,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.062,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.063,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.064,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.065,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.066,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.067,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.068,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.069,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.07,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.071,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.072000000000001,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.073,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.074,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.075000000000001,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.076,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.077,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
